centroid_idx,n,mean,median,std,min,max
418,8,7.0575,7.255,0.6167404235170579,5.82,7.75
1635,8,7.9675,8.205,0.4322542654503251,7.17,8.31
1315,8,6.08625,6.03,0.5752377225982316,5.19,6.98
1288,8,8.372500000000002,8.625,0.46094332623436474,7.61,8.8
3135,8,7.43625,7.555,0.5776014521276761,6.04,8.15
472,8,6.875,6.81,0.6453487429289686,5.96,8.0
1507,8,6.6125,6.73,0.46528888875622226,5.6,7.16
3065,7,7.935714285714286,8.04,0.39081808493236864,7.28,8.41
2997,7,8.088571428571429,8.13,0.23919081273736062,7.66,8.52
1020,7,7.261428571428572,7.25,0.4274986573555716,6.72,8.01
904,7,5.321428571428571,5.57,0.5028327916181788,4.59,5.9
435,7,5.232857142857143,5.43,0.4405099086193597,4.37,5.66
178,7,6.787142857142858,6.97,0.3516781924151797,6.1,7.1
1120,7,6.21,6.01,0.3578906457085941,5.89,6.86
2347,7,7.682857142857143,7.54,0.3624407059177026,7.09,8.11
3229,7,8.264285714285714,8.21,0.25019176318845315,7.92,8.8
330,6,7.5249999999999995,7.56,0.4701684095442116,6.59,8.06
2809,6,7.118333333333332,7.109999999999999,0.17544388149934328,6.89,7.41
1301,6,5.915,6.025,0.3960534475715788,5.25,6.37
186,6,6.743333333333333,6.43,0.9105248791524344,5.68,8.01
865,6,7.37,7.4399999999999995,0.31443070248731525,6.78,7.77
3109,6,5.84,5.91,0.2489310480166478,5.38,6.09
2076,6,6.329999999999999,6.395,0.42801869118065394,5.45,6.78
2256,6,5.925000000000001,5.78,1.6322760183253322,4.06,8.49
1415,6,6.696666666666665,6.5,0.610837312401774,6.02,7.73
1013,6,6.456666666666667,6.425,0.42326771144933245,5.82,7.06
1200,6,6.59,6.5600000000000005,0.5593448548674305,5.72,7.4
1579,6,7.546666666666667,8.17,1.349983538994293,4.59,8.48
2025,6,7.375,7.41,0.29273138995787,6.99,7.72
2056,6,8.73,8.780000000000001,0.3713937712635115,8.25,9.22
68,6,7.07,7.135,0.23881652650797278,6.61,7.35
452,6,6.385000000000001,6.965,1.0509797016752196,4.21,7.15
363,6,6.613333333333333,6.66,1.2903574009638659,5.01,8.66
172,6,6.45,6.41,0.28798148088606884,6.16,7.01
223,6,6.736666666666667,6.65,0.9696505670715726,5.07,8.05
66,6,6.256666666666667,6.605,0.679256129077161,5.09,6.89
947,6,6.008333333333333,6.055,0.37795134901495236,5.25,6.48
891,6,5.451666666666667,5.0649999999999995,0.580442838605912,5.05,6.52
908,6,6.103333333333334,6.135,0.14337208778404392,5.84,6.28
1085,6,5.353333333333334,5.32,0.2984217746002385,4.98,5.82
1071,6,6.963333333333332,6.975,0.32785498149164816,6.55,7.54
2084,6,6.993333333333333,6.8100000000000005,0.7677383813658284,5.99,8.14
2480,5,6.847999999999999,6.71,1.358033872920701,5.26,9.29
3165,5,8.05,7.96,0.1512613632095126,7.92,8.3
417,5,7.156000000000001,6.99,0.46504193359308993,6.7,7.92
505,5,6.93,6.96,0.31157663583779854,6.47,7.4
579,5,7.582000000000001,7.52,0.2514279220770837,7.27,8.0
3318,5,7.997999999999999,8.14,0.19640773915505488,7.72,8.18
1519,5,4.75,4.78,0.17099707599839242,4.53,5.03
542,5,8.112,8.22,0.21930800258996505,7.8,8.4
2471,5,6.132000000000001,6.12,0.03187475490101856,6.1,6.17
2621,5,8.09,8.24,0.30324907254598465,7.49,8.29
2049,5,9.198,9.22,0.1210619676033725,9.05,9.4
829,5,5.316000000000001,5.25,0.6041390568403934,4.6,6.12
939,5,6.1339999999999995,6.31,0.4847514827207854,5.29,6.64
96,5,6.764,6.74,0.6347787015960759,6.0,7.68
1193,5,5.848000000000001,5.67,0.47494841825191925,5.28,6.7
1165,5,5.6419999999999995,5.7,0.23785709995709592,5.32,6.02
1145,5,5.708,5.96,0.41672052985184205,5.03,6.16
1222,5,6.840000000000001,6.6,1.4856244478333007,4.95,8.62
1227,5,4.0,4.0,0.0,4.0,4.0
2666,5,7.24,7.37,0.2551862065237851,6.78,7.47
158,5,7.1579999999999995,6.77,0.8557195802364231,6.0,8.22
1704,5,6.775999999999999,6.7,0.29295733477760877,6.46,7.22
2855,5,8.374,8.4,0.44800000000000006,7.77,9.0
1369,5,6.214,6.3,0.2580387567788994,5.81,6.5
1987,4,7.862500000000001,8.215,0.6665348828080946,6.71,8.31
217,4,7.0675,6.984999999999999,0.2748977082479952,6.78,7.52
912,4,6.6425,6.7,0.46526202295050906,6.0,7.17
1721,4,7.604999999999999,7.6,0.3801644381054071,7.1,8.12
232,4,7.425,7.49,0.33507461855533005,6.92,7.8
458,4,7.125,7.035,0.2739069184960469,6.85,7.58
820,4,4.800000000000001,4.779999999999999,0.20199009876724175,4.6,5.04
49,4,6.0024999999999995,6.109999999999999,0.8485391858953836,4.85,6.94
116,4,7.365,7.49,0.3491060010942234,6.78,7.7
1386,4,6.112500000000001,5.9399999999999995,0.5679513623542073,5.52,7.05
1562,4,7.897500000000001,7.9,0.20692691946675276,7.62,8.17
71,4,6.865,6.915,0.1898025289610233,6.56,7.07
2701,4,7.262499999999999,7.35,0.1515544456622766,7.0,7.35
1045,4,7.6975,7.695,0.3544273550390824,7.2,8.2
2699,4,8.5125,8.5,0.17440971876589936,8.33,8.72
360,4,7.2299999999999995,6.965,0.5397684688827239,6.83,8.16
